___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  44   4  -93.00  -83.00       -0.1461
  45   4  -91.00  -83.00       -0.1461
  46   4  -89.00  -83.00       -0.1461
  47   4  -87.00  -83.00       -0.1461
  48   4  -85.00  -83.00       -0.1461
  49   4  -83.00  -83.00       -0.1461
  50   4  -81.00  -83.00       -0.1461
  51   4  -79.00  -83.00       -0.1461
  52   4  -77.00  -83.00       -0.1461
  53   4  -75.00  -83.00       -0.1461
  54   4  -73.00  -83.00       -0.1461
  55   4  -71.00  -83.00       -0.1461
  56   4  -69.00  -83.00       -0.1461
  57   4  -67.00  -83.00       -0.1461
  58   4  -65.00  -83.00       -0.1461
  59   4  -63.00  -83.00       -0.1461
  60   4  -61.00  -83.00       -0.1461
  61   4  -59.00  -83.00       -0.1461
  62   4  -57.00  -83.00       -0.1461
  63   4  -55.00  -83.00       -0.1461
  64   4  -53.00  -83.00       -0.1461
  65   4  -51.00  -83.00       -0.1461
  66   4  -49.00  -83.00       -0.1461
  67   4  -47.00  -83.00       -0.1461
  68   4  -45.00  -83.00       -0.1461
  69   4  -43.00  -83.00       -0.1461
  70   4  -41.00  -83.00       -0.1461
  71   4  -39.00  -83.00       -0.1461
  72   4  -37.00  -83.00       -0.1461
  73   4  -35.00  -83.00       -0.1461
  74   4  -33.00  -83.00       -0.1461
  75   4  -31.00  -83.00       -0.1461
  76   4  -29.00  -83.00       -0.1461
  77   4  -27.00  -83.00       -0.1461
  78   4  -25.00  -83.00       -0.1461
  79   4  -23.00  -83.00       -0.1461
  80   4  -21.00  -83.00       -0.1461
  81   4  -19.00  -83.00       -0.1461
  82   4  -17.00  -83.00       -0.1461
  83   4  -15.00  -83.00       -0.1461
  84   4  -13.00  -83.00       -0.1461
  85   4  -11.00  -83.00       -0.1461
  86   4   -9.00  -83.00       -0.1461
  87   4   -7.00  -83.00       -0.1461
  88   4   -5.00  -83.00       -0.1461
  89   4   -3.00  -83.00       -0.1461
  90   4   -1.00  -83.00       -0.1461
  91   4    1.00  -83.00       -0.1461
  92   4    3.00  -83.00       -0.1461
  93   4    5.00  -83.00       -0.1461
  94   4    7.00  -83.00       -0.1461
  95   4    9.00  -83.00       -0.1461
  96   4   11.00  -83.00       -0.1461
  97   4   13.00  -83.00       -0.1461
  98   4   15.00  -83.00       -0.1461
  99   4   17.00  -83.00       -0.1461
 100   4   19.00  -83.00       -0.1461
 101   4   21.00  -83.00       -0.1461
 102   4   23.00  -83.00       -0.1461
 103   4   25.00  -83.00       -0.1461
 104   4   27.00  -83.00       -0.1461
 105   4   29.00  -83.00       -0.1461
 106   4   31.00  -83.00       -0.1461
 107   4   33.00  -83.00       -0.1461
 108   4   35.00  -83.00       -0.1461
 109   4   37.00  -83.00       -0.1461
 110   4   39.00  -83.00       -0.1461
 111   4   41.00  -83.00       -0.1461
 112   4   43.00  -83.00       -0.1461
 113   4   45.00  -83.00       -0.1461
 114   4   47.00  -83.00       -0.1461
 115   4   49.00  -83.00       -0.1461
 116   4   51.00  -83.00       -0.1461
 117   4   53.00  -83.00       -0.1461
 118   4   55.00  -83.00       -0.1461
 119   4   57.00  -83.00       -0.1461
 120   4   59.00  -83.00       -0.1461
 121   4   61.00  -83.00       -0.1461
 122   4   63.00  -83.00       -0.1461
 123   4   65.00  -83.00       -0.1461
 124   4   67.00  -83.00       -0.1461
